33, Private, 215596, 9th, 5, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 40, Mexico, <=50K.
33, Self-emp-not-inc, 190027, Masters, 14, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 70, United-States, >50K.
79, Private, 160758, 7th-8th, 4, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 15, United-States, <=50K.
33, Private, 361280, Doctorate, 16, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Japan, <=50K.
36, Private, 199288, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K.
46, Self-emp-not-inc, 204698, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K.
17, Private, 213354, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 6, United-States, <=50K.
22, Private, 282579, HS-grad, 9, Never-married, Other-service, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
39, Private, 99783, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K.
27, Private, 446947, Bachelors, 13, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 55, United-States, <=50K.
57, Private, 186202, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
26, Self-emp-inc, 177951, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 32, United-States, <=50K.
28, Private, 258364, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
46, Local-gov, 200727, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K.
32, Self-emp-not-inc, 33404, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 10520, 0, 50, United-States, >50K.
63, Federal-gov, 31115, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K.
21, Private, 301915, 11th, 7, Separated, Sales, Not-in-family, Other, Female, 0, 0, 30, Mexico, <=50K.
44, Private, 201908, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 5013, 0, 40, United-States, <=50K.
40, Private, 168071, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K.
32, Private, 347623, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
39, Private, 35890, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
31, Private, 154227, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 161532, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
55, Private, 178282, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
31, Private, 263561, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
52, Private, 201783, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K.
30, Private, 161153, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
28, Private, 193125, Some-college, 10, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K.
28, Private, 126060, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 99999, 0, 36, United-States, >50K.
52, Private, 186826, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 1564, 40, United-States, >50K.
32, Private, 156192, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K.
35, Private, 193094, HS-grad, 9, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 35, United-States, <=50K.
26, Private, 472411, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K.
17, Private, 147069, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 16, United-States, <=50K.
40, Private, 300195, Some-college, 10, Divorced, Tech-support, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K.
75, ?, 91417, Assoc-voc, 11, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K.
23, Private, 182342, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, Italy, <=50K.
32, Private, 258406, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Mexico, <=50K.
27, Private, 87239, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, United-States, <=50K.
25, Private, 294406, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K.
18, ?, 41385, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 4508, 0, 40, United-States, <=50K.
66, Private, 197414, 7th-8th, 4, Married-spouse-absent, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
47, Private, 323212, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
57, Local-gov, 31532, Assoc-acdm, 12, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 20, United-States, <=50K.
30, Private, 127610, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 20, Greece, <=50K.
26, Private, 163189, Some-college, 10, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
33, Private, 594187, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 60, United-States, >50K.
39, Private, 269323, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 1485, 38, United-States, >50K.
33, Private, 96480, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 40, United-States, >50K.
58, Private, 200316, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K.
22, Private, 212780, HS-grad, 9, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 30, United-States, <=50K.
49, Self-emp-inc, 120121, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K.
20, Private, 367240, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
24, Private, 117606, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 35, United-States, <=50K.
33, Private, 122749, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, India, >50K.
59, Private, 169560, 10th, 6, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K.
46, Private, 269890, HS-grad, 9, Divorced, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K.
43, Private, 303426, HS-grad, 9, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Male, 5721, 0, 40, Philippines, <=50K.
25, Private, 112835, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
17, Private, 226503, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
46, Private, 207733, 1st-4th, 2, Widowed, Other-service, Unmarried, White, Female, 0, 0, 40, Puerto-Rico, <=50K.
20, Private, 275421, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
37, Local-gov, 165883, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
56, Self-emp-inc, 236676, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
19, ?, 171578, Some-college, 10, Never-married, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K.
30, Private, 685955, Bachelors, 13, Never-married, Sales, Unmarried, Black, Male, 0, 0, 50, United-States, <=50K.
32, Private, 72887, Some-college, 10, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, >50K.
34, Private, 135304, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K.
27, Private, 218781, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 50, United-States, <=50K.
23, Private, 126540, 10th, 6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K.
33, Private, 261943, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Guatemala, <=50K.
34, State-gov, 111843, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Black, Female, 3325, 0, 40, United-States, <=50K.
71, Self-emp-not-inc, 401203, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 34, United-States, >50K.
56, Private, 117400, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
61, ?, 113658, 10th, 6, Divorced, ?, Other-relative, White, Female, 0, 0, 20, United-States, <=50K.
40, Local-gov, 166822, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 0, 36, United-States, >50K.
35, Private, 151322, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
21, Private, 102684, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
54, Self-emp-not-inc, 152652, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
24, Private, 193416, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Female, 0, 0, 3, United-States, <=50K.
35, Private, 103323, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K.
37, Self-emp-not-inc, 33975, Bachelors, 13, Separated, Transport-moving, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
20, ?, 163665, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 30, United-States, <=50K.
59, Private, 187485, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
50, Private, 110327, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
28, Private, 179498, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
37, Local-gov, 197915, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K.
51, Private, 103995, Doctorate, 16, Widowed, Prof-specialty, Not-in-family, White, Female, 10520, 0, 60, United-States, >50K.
46, Private, 123807, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 15, United-States, <=50K.
23, Private, 43535, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K.
57, Self-emp-not-inc, 200316, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K.
60, Private, 125832, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 72, Canada, <=50K.
51, State-gov, 71691, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 60, United-States, >50K.
50, Private, 168212, Some-college, 10, Married-spouse-absent, Transport-moving, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
45, Federal-gov, 98320, Some-college, 10, Divorced, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 914, 0, 40, United-States, <=50K.
41, Private, 173307, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 43, United-States, <=50K.
56, Private, 442116, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 54, United-States, >50K.
18, Private, 130849, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 17, United-States, <=50K.
51, Private, 159015, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K.
32, Private, 147921, Prof-school, 15, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
48, Private, 268022, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 55, United-States, >50K.
51, Private, 253357, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
50, Private, 339954, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
32, State-gov, 347623, Assoc-voc, 11, Married-civ-spouse, Tech-support, Husband, White, Male, 3411, 0, 40, United-States, <=50K.
53, Federal-gov, 169112, Prof-school, 15, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, >50K.
37, Private, 166213, HS-grad, 9, Divorced, Tech-support, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
62, Private, 216765, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K.
51, Private, 335997, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States, >50K.
18, ?, 354236, 10th, 6, Never-married, ?, Own-child, White, Female, 0, 0, 30, United-States, <=50K.
70, Private, 178120, HS-grad, 9, Widowed, Priv-house-serv, Other-relative, Black, Female, 0, 0, 8, United-States, <=50K.
54, Private, 312631, Prof-school, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1887, 50, United-States, >50K.
67, Local-gov, 31924, Some-college, 10, Widowed, Other-service, Not-in-family, White, Female, 2964, 0, 41, United-States, <=50K.
34, Federal-gov, 96483, Assoc-acdm, 12, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 60, United-States, >50K.
26, Private, 305304, 11th, 7, Separated, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, United-States, <=50K.
52, Local-gov, 111722, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 72, United-States, <=50K.
24, Private, 197554, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
51, Private, 257126, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
27, Private, 101597, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K.
23, Private, 220115, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
38, Private, 210844, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2042, 40, Columbia, <=50K.
25, Self-emp-inc, 66935, HS-grad, 9, Never-married, Other-service, Other-relative, White, Male, 0, 0, 30, United-States, <=50K.
81, Private, 192813, 7th-8th, 4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 25, Portugal, <=50K.
35, Self-emp-not-inc, 95639, 11th, 7, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, 0, 0, 4, United-States, <=50K.
40, Self-emp-not-inc, 223881, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K.
33, Private, 223105, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
33, Private, 192644, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 90, United-States, >50K.
45, Self-emp-not-inc, 58683, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 5178, 0, 48, United-States, >50K.
22, Private, 162282, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 55, United-States, <=50K.
38, State-gov, 239539, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K.
46, Private, 117849, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 50, United-States, >50K.
17, Private, 99237, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K.
18, ?, 149343, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 0, 3, United-States, <=50K.
42, Self-emp-not-inc, 193882, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K.
41, Private, 107845, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K.
58, Private, 268295, 5th-6th, 3, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
43, Private, 71269, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K.
42, Self-emp-inc, 204598, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 3464, 0, 80, United-States, <=50K.
19, ?, 98283, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Male, 0, 0, 32, United-States, <=50K.
45, Self-emp-inc, 188694, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K.
41, Private, 201908, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 20, United-States, <=50K.
38, Private, 191137, 11th, 7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 35, United-States, <=50K.
58, Self-emp-not-inc, 129786, HS-grad, 9, Separated, Farming-fishing, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
37, Private, 302903, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female, 0, 0, 40, United-States, >50K.
34, Private, 143526, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
23, Private, 182117, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
47, Private, 172753, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 85, United-States, >50K.
37, Private, 139770, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K.
47, Private, 215686, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 50, United-States, <=50K.
31, Private, 181388, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1902, 45, United-States, >50K.
57, Private, 81973, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 15024, 0, 45, United-States, >50K.
44, Private, 328581, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K.
64, Private, 110110, 11th, 7, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
31, Private, 174201, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
40, Private, 137421, Masters, 14, Married-spouse-absent, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 35, India, >50K.
34, Private, 153927, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K.
28, Federal-gov, 187649, HS-grad, 9, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
72, Private, 149992, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 35, United-States, <=50K.
21, Private, 234640, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 47, United-States, <=50K.
52, Local-gov, 311569, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K.
44, Private, 182383, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, <=50K.
57, State-gov, 344381, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 7688, 0, 75, United-States, >50K.
35, Self-emp-not-inc, 280570, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, <=50K.
21, Private, 215039, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
38, Local-gov, 339442, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
28, Local-gov, 168065, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
59, Private, 47534, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K.
54, Local-gov, 116428, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
25, Private, 121789, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 38, United-States, <=50K.
29, State-gov, 143139, 10th, 6, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K.
18, Private, 187790, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K.
31, Private, 140559, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States, <=50K.
17, Private, 184025, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 16, United-States, <=50K.
47, Private, 257824, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K.
42, Private, 89226, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 7688, 0, 40, Greece, >50K.
21, Private, 145917, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K.
32, Private, 207301, Some-college, 10, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K.
51, Private, 135388, 12th, 8, Widowed, Machine-op-inspct, Not-in-family, White, Male, 0, 1564, 40, United-States, >50K.
24, Private, 266467, Assoc-voc, 11, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
60, Private, 200047, Masters, 14, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
29, Federal-gov, 121040, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K.
24, Private, 199694, Assoc-acdm, 12, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K.
43, Private, 301007, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 50, United-States, >50K.
64, Self-emp-not-inc, 253759, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 50, United-States, >50K.
53, Private, 120839, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
64, State-gov, 33342, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
41, Private, 205195, Assoc-acdm, 12, Divorced, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
30, Private, 362873, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, El-Salvador, <=50K.
25, Private, 104614, HS-grad, 9, Never-married, Protective-serv, Unmarried, White, Female, 0, 0, 25, United-States, <=50K.
27, Self-emp-not-inc, 32280, HS-grad, 9, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 50, United-States, <=50K.
30, Private, 191777, 12th, 8, Never-married, Other-service, Own-child, Black, Female, 0, 0, 20, ?, <=50K.
39, Private, 144169, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K.
28, Private, 264076, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K.
33, Private, 119164, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K.
41, Private, 126845, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K.
24, Private, 228395, Bachelors, 13, Never-married, Sales, Own-child, Black, Female, 0, 0, 40, United-States, <=50K.
32, Private, 242654, Some-college, 10, Divorced, Sales, Unmarried, Black, Female, 0, 1138, 40, Honduras, <=50K.
69, Self-emp-not-inc, 30951, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, United-States, <=50K.
36, Private, 48855, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, >50K.
57, Self-emp-not-inc, 50791, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, United-States, <=50K.
58, Local-gov, 248739, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
26, Private, 165418, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
17, Private, 79464, 11th, 7, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 12, United-States, <=50K.
36, Local-gov, 321247, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
44, Private, 104269, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, >50K.
39, Self-emp-inc, 129573, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K.
41, Private, 222142, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 3464, 0, 40, United-States, <=50K.
24, Private, 126613, 11th, 7, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K.
54, Private, 145548, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K.
26, Private, 331861, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K.
39, Private, 156261, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K.
27, Private, 173944, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K.
25, Private, 69739, 10th, 6, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, Portugal, <=50K.
32, Private, 266345, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K.
30, Private, 278006, HS-grad, 9, Divorced, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K.
50, Self-emp-inc, 82578, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K.
66, Private, 154164, Assoc-acdm, 12, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 7, ?, <=50K.
25, Private, 250038, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K.
48, Private, 175468, HS-grad, 9, Married-spouse-absent, Other-service, Unmarried, White, Female, 0, 0, 16, United-States, <=50K.
23, State-gov, 435835, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 7, United-States, <=50K.
70, Private, 135601, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 20051, 0, 35, United-States, >50K.
20, State-gov, 162945, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K.
